ZipCode,TotalPopulation,NoInsuranceRate,AsthmaRate,DiabetesRate
2762,"9,945",4.1,11.7,9.5
2763,"2,118",3.5,11.9,8.8
2764,"4,081",3.4,12.3,8.6
2766,"19,202",3.7,12.3,8.2
2767,"15,376",4.2,12.5,10.1
2769,"12,521",3.6,12.2,9.5
2770,"5,560",3.7,12.0,9.7
2771,"15,512",3.7,12.2,9.3
2777,"17,133",3.9,12.2,9.4
2779,"6,764",3.4,12.3,8.3
2780,"52,299",6.5,13.5,11.3
2790,"16,458",4.1,12.3,10.6
2791,312,3.0,11.3,11.5
2802,814,4.2,12.2,10.5
2804,"2,782",5.1,11.2,9.2
2806,"17,153",3.5,10.3,9.1
2807,"1,410",6.1,11.1,12.7
2808,"2,332",4.5,10.9,7.9
2809,"22,493",5.4,11.1,9.7
2812,"1,220",4.1,10.5,8.1
2813,"8,021",4.8,11.1,10.5
2814,"7,549",4.6,12.4,10.3
2815,247,4.5,12.6,11.0
2816,"33,206",5.8,12.1,12.2
2817,"6,528",4.9,11.8,11.1
2818,"19,907",4.1,11.1,10.6
2822,"5,960",5.6,11.2,9.9
2823,151,4.8,11.4,7.1
2824,404,5.2,12.8,8.6
2825,"5,265",5.1,12.5,10.6
2826,822,5.1,13.3,9.5
2827,"2,224",5.3,11.8,11.2
2828,"7,469",4.8,12.1,10.4
2829,122,3.6,12.7,11.5
2830,"6,474",5.4,12.6,10.5
2831,"3,860",4.6,12.3,9.4
2832,"4,887",5.3,11.3,9.7
2833,469,6.7,10.8,10.9
2835,"5,559",3.3,10.4,10.4
2836,158,4.5,11.4,8.1
2837,"3,616",3.7,10.5,10.4
2838,"3,801",5.3,12.0,8.5
2839,"1,870",5.1,12.8,9.6
2840,"23,902",6.5,11.2,9.6
2841,"1,220",8.8,9.8,2.4
2842,"17,115",6.0,10.9,10.2
2852,"23,579",4.5,10.9,9.1
2857,"8,339",4.6,12.3,10.2
2858,580,5.3,12.5,8.4
2859,"6,701",5.9,12.8,10.4
2860,"47,894",12.8,13.9,12.8
2861,"27,833",9.5,13.0,11.2
2863,"22,596",26.2,13.2,15.5
2864,"36,376",5.7,12.2,9.6
2865,"17,902",5.5,12.1,10.1
2871,"17,640",4.2,10.6,9.2
2872,231,3.7,10.3,12.4
2873,266,6.3,11.8,9.9
2874,"6,137",3.9,10.8,8.2
2875,350,3.8,11.2,7.8
